date,IPI,Real Manufacturing and Trade Industries Sales,Unemployment rate,Initial Claims,CPI,CLI
2006/4/1,0.002960628,-0.009449294,0.047,299600,0.005007511,101.33
2006/5/1,0.000251311,0.00821813,0.046,306750,0.002989537,101.26
2006/6/1,0.003367529,-0.002752697,0.046,332750,0.002483855,101.2
2006/7/1,-0.000653273,-0.004340907,0.047,307600,0.005450942,101.17
2006/8/1,0.004340486,0.00560763,0.047,319500,0.004435683,101.18
2006/9/1,-0.001811786,-0.000181265,0.045,314250,-0.004906771,101.24
2006/10/1,-0.001024947,0.00072519,0.044,316200,-0.00443787,101.34
2006/11/1,-0.000268354,0.000579732,0.045,315500,0.000495295,101.45
2006/12/1,0.010254671,0.015995108,0.044,326250,0.005445545,101.58
2007/1/1,-0.003574978,-0.006098855,0.046,324000,0.001659281,101.7
2007/2/1,0.009643666,0.006000171,0.045,317250,0.003878351,101.81
2007/3/1,0.001773293,0.001254125,0.044,322750,0.005200121,101.94
2007/4/1,0.006710924,-0.001724284,0.045,309400,0.003000662,102.05
2007/5/1,0.000537548,0.006691826,0.044,320250,0.004132994,102.14
2007/6/1,0.00027355,-0.001137681,0.046,304250,0.002316752,102.19
2007/7/1,-0.001568053,-0.00595847,0.047,315200,0.001780596,102.17
2007/8/1,0.001960682,0.012551948,0.046,313250,0.000308281,102.1
2007/9/1,0.002443598,0.000484514,0.047,318800,0.004237553,101.99
2007/10/1,-0.00292517,0.005312664,0.047,313250,0.003083238,101.87
2007/11/1,0.005628435,-0.00242771,0.047,328250,0.007858884,101.74
2007/12/1,0.000584053,-0.008145318,0.05,337600,0.002898015,101.62
2008/1/1,-0.001242711,0.005027916,0.05,349250,0.003447705,101.49
2008/2/1,-0.003658371,-0.009557134,0.049,338750,0.002417827,101.34
2008/3/1,-0.003191335,-0.01325331,0.051,346400,0.003578028,101.18
2008/4/1,-0.006854554,0.010190237,0.05,368000,0.002314381,100.98
2008/5/1,-0.006171381,-0.006913119,0.054,359500,0.005917492,100.7
2008/6/1,-0.00260452,-0.001336879,0.056,366800,0.010478235,100.31
2008/7/1,-0.004539775,-0.017244862,0.058,383250,0.007141445,99.77
2008/8/1,-0.015794704,-0.007344173,0.061,398000,-0.001488476,99.07
2008/9/1,-0.043858349,-0.024596313,0.061,433000,0.000855092,98.22
2008/10/1,0.010056906,-0.009318486,0.065,464000,-0.008598437,97.29
